Sample,E tech. Rep. 1,E tech. Rep. 2,E tech. Rep. 3,GAPDH tech. Rep. 1,GAPDH tech. Rep. 2,GAPDH tech. Rep. 3
NI-1,3.58992252411023,452.133735898894,618.789389917444,9010.65836176142,7601.4389939385,4381.39169230885
NI-2,568.738545698921,666.067280666839,899.221064811962,10914.196470911,10307.2692936394,6701.55689395376
INF-1,8259712.50525644,6945026.61009601,7869182.41776529,6699.63501013992,5315.17050081369,6037.01307915762
INF-2,11474429.0476583,10391930.4912102,10654155.3158401,10679.6737751587,9857.25548762474,10025.4402461801
Rem-1,7209.08433383577,4656.15821642973,4736.0662029925,18818.0261862139,13778.8898933679,13560.5340166842
Rem-2,4279.6232742829,3613.05378671445,4040.69178805861,12282.4232621636,22648.6001483943,11954.0371878687
Mix siRNA3_siRNA8-1,16593493.1562975,19539571.3594904,9208149.84869745,19742.0784725334,12517.6351311559,12674.80347214
Mix siRNA3_siRNA8-2,5115687.27490288,4374246.67787635,4627734.91863516,11064.550844418,8437.09234995596,7731.41105430305
Mix siRNA3_siRNA8-3,5583313.43296429,4742716.67107288,5536186.40054154,13589.2797093894,9351.6869919635,7959.09524913636
Mix siRNA3_siRNA8-4,8529640.81810018,7618215.04536476,6987665.518551,14062.0944160241,11166.3115882297,9555.20974329245
Mix siRNA3_siRNA8-5,4663898.93601476,3647271.87684347,4720827.82643839,8918.79808048927,6313.98638834583,4936.09540245049
Mix siRNA3_siRNA8-6,9140486.90333168,7043928.28575474,9670984.05355252,11168.4973122831,10765.1359339027,8031.76399714436
Mix siRNA3_siRNA4_siRNA8-1,9869508.77839358,9038198.67169212,8045140.6455415,16830.4088533329,11008.7859586862,9810.70382859188
Mix siRNA3_siRNA4_siRNA8-2,6668711.93004562,5689094.57638695,6864377.51420188,12701.3387339231,9109.3152031707,8278.11586687994
Mix siRNA3_siRNA4_siRNA8-3,6173929.35135222,4571701.69834074,7319505.85406846,11807.8265092451,8613.4037428025,8321.05069146013
Mix siRNA3_siRNA4_siRNA8-4,6418131.7889308,5534757.01175234,7811143.28814396,17399.9572329084,12127.8023616926,9875.51858960673
Mix siRNA3_siRNA4_siRNA8-5,6942280.16175948,5613816.18116419,7624175.46257875,8579.80494126494,8034.1147021261,6105.7067751245
Mix siRNA3_siRNA4_siRNA8-6,8567224.44200679,7229616.17286715,8923361.80041948,17097.9677036152,12234.0198605423,7951.81938574988
siRNA ø-1,20236747.4358898,9554820.0181741,8489396.70029397,12363.6902245519,7837.04044809886,7263.22759994244
siRNA ø-2,9177617.69551603,7171283.74746241,6576289.13630405,13341.9450487991,8545.87174822409,8637.52430447226
siRNA ø-3,7319505.85406846,6163589.53239198,5131024.44866847,10092.3721831488,6108.5114822564,5464.11672051756
siRNA ø-4,7642245.73779022,6614211.2054618,10042952.9198788,11186.9044688463,6540.0375092449,5673.29232978088
siRNA ø-5,7266194.64714838,6167602.23339044,8347844.92415995,9567.78241270878,6231.78756037266,4949.53316233207
siRNA ø-6,9459494.78572894,11244345.1404053,11315366.8127276,8330.90378065376,6306.87427954039,6664.7491186435
mock-1,9420052.73702991,9141948.66110751,9730546.47166375,9220.20228494065,7030.75138802292,5829.3423576606
mock-2,9609534.95532402,7486374.17293247,7307695.25817296,8309.67522776197,6690.9297576327,4620.5961186478
mock-3,9330451.14367085,6976392.31248733,8273192.63765383,8594.95669044588,6686.53906098975,6143.28678050394
mock-4,8338906.49910166,6915253.1945542,10795604.0283906,8271.93175715594,5885.78412854246,5917.75136424538
mock-5,7996710.50930465,7132690.00368081,9975728.96919248,8193.0578188704,5372.1027964445,4598.03803611121
mock-6,13711080.7455709,13040003.0347569,14027225.0911483,9192.66112343442,6761.92226639717,5556.76315767656
